TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
116BSP2360_1;31900;32167;32861;34412;36076;37822;38788;39808;40853;41959;42557;43205;43954;45189;46415;47502;48597;49702;50820;51954;53103;54268;55448;56642;57851;59073;60308;61555;62814;64083;65361;66648;67943;69244;70551;71863
116BSP2360_1;31900;32167;32861;34412;36076;37822;38788;39808;40853;41959;42557;43205;43954;45189;46415;47502;48597;49702;50820;51954;53103;54268;55448;56642;57851;59073;60308;61555;62814;64083;65361;66648;67943;69244;70551;71863
116BSP2360_1;31900;32167;32861;34412;36076;37822;38788;39808;40853;41959;42557;43205;43954;45189;46415;47502;48597;49702;50820;51954;53103;54268;55448;56642;57851;59073;60308;61555;62814;64083;65361;66648;67943;69244;70551;71863
116BSP2370;47940;48334;49361;50838;52404;54019;55359;56692;58092;59561;61094;62658;64219;65765;67305;68850;70408;71985;73582;75201;76843;78505;80189;81893;83617;85360;87121;88898;90692;92500;94321;96153;97996;99848;101707;103573
116BSP2370;47940;48334;49361;50838;52404;54019;55359;56692;58092;59561;61094;62658;64219;65765;67305;68850;70408;71985;73582;75201;76843;78505;80189;81893;83617;85360;87121;88898;90692;92500;94321;96153;97996;99848;101707;103573
116BSP2390;57068;57537;58756;60419;62195;64028;65631;67210;68867;70606;72419;74271;76118;77947;79768;81595;83438;85303;87191;89106;91046;93012;95002;97017;99054;101114;103195;105296;107416;109552;111704;113869;116047;118235;120432;122637
116BSP2390;57068;57537;58756;60419;62195;64028;65631;67210;68867;70606;72419;74271;76118;77947;79768;81595;83438;85303;87191;89106;91046;93012;95002;97017;99054;101114;103195;105296;107416;109552;111704;113869;116047;118235;120432;122637
116BSP2410_2;51316;51741;52844;54923;57269;59810;61523;63102;64669;66313;68028;69779;71527;73258;74982;76712;78457;80223;82013;83827;85665;87528;89415;91325;93257;95211;97185;99178;101189;103216;105258;107314;109381;111458;113544;115638
116BSP2410_1;44698;45066;46023;47934;50107;52473;54006;55402;56783;58238;59762;61318;62866;64394;65911;67429;68959;70507;72074;73663;75273;76904;78556;80228;81920;83630;85358;87102;88862;90636;92423;94221;96029;97847;99672;101503
116BSP2430_3;51646;52068;53166;55288;57691;60298;62024;63605;65170;66814;68530;70281;72028;73756;75476;77200;78938;80697;82478;84284;86113;87967;89843;91743;93664;95606;97567;99548;101545;103559;105586;107627;109679;111740;113811;115888
